Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
2008-2012,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,57.39,155257,105770,49487,1046,856.6,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,5050,,59.27,72.84,,1545,76.57,21.03,78.97,5977,,,,,,84.4,85.9,
2008-2012,Bhutan,Asia | Southern and Eastern Asia | South Asia,3839,2.933,743.7,473.9,269.8,19.37,2452,84.46,78,8.1,8.1,78,0,78,0,0,,0,78,8.1,78,0,,,,,,31.91,,28.34,,,,100,,,,,,,,,97.1,99.7,
2008-2012,India,Asia | Southern and Eastern Asia | South Asia,328726,51.52,1263590,872419,391171,384.4,1440,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,,139500,66334,62286,39.17,47.55,,,100,,,87259,140.1,,,,,90.3,96.4,
2008-2012,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23,344.8,201.6,143.2,1149,7291,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,97.9,99.5,
2008-2012,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,15.8,27501,22688,4813,186.9,685.5,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,0.0853,2178,1332,,57.27,61.16,,,100,,,,,,,,,88.3,91.6,
2008-2012,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,39.02,177392,110337,67055,222.8,1268,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,27.81,21300,19990,,64.35,93.85,1250,,94.11,38.17,20.66,21452,111.3,,,,,88.9,94.2,
2008-2012,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,34.29,20422,16562,3860,311.3,3351,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,,,,,,,,,,,,,,,,92.3,98,
2008-2012,China,Asia | Southern and Eastern Asia | East Asia,960000,12.76,1386350,646504,739846,144.4,6102,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,,,,,,,,,,,,,,,,88.5,97.5,
2008-2012,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,21.4,24763,9797,14966,205.4,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,13.57,,,,,,,,,,,,,,,,,99.4,99.9,
2008-2012,Japan,Asia | Southern and Eastern Asia | East Asia,37796,12.04,127140,10194,116946,336.4,46877,630.4,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,2500,,54.96,,,,100,,,,,,,,,100,100,
2008-2012,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.4162,2808,865,1943,1.795,4378,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,53.8,68,
2008-2012,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,10015,17.27,49608,9357,40251,495.3,24593,127.6,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,1782,806.5,806.5,46.62,45.26,,,100,94.38,5.617,,,,,,,87.9,99.7,
2008-2012,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,21.85,14832,11839,2993,81.93,946.5,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,62.9,91.9,
2008-2012,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,6.837,6473,4123,2350,27.34,1446,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.811,600,,,,,,,,,,,,,,,,64.9,83.7,
2008-2012,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,18.09,52544,35401,17143,77.66,1421,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,,,,,,,,,,,,,,,,74.4,92.7,
2008-2012,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,41.04,67164,35987,31177,130.9,5911,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,126,,,68.28,12245,,,,,,,,,,,,,,,,96.8,97.5,
2008-2012,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33097,30.67,90336,61583,28753,272.9,1727,602.7,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,371.9,,,28.04,9400,,,,,,,,,,,,,,,,91.9,98,
2008-2012,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.733,405.5,91.3,314.2,70.28,41809,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
2008-2012,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,23.81,248038,120933,127105,129.8,3701,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,2430,,,23.02,10886,,,,,,,,,,,,,,,,77.2,93.6,
2008-2012,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,22.52,29022,7815,21207,87.73,10819,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,22.45,413.7,380,,5.101,91.85,,,100,,,,,,,,,92.4,100,
2008-2012,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,2.161,7155,6225,930.4,15.46,2151,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.665,36,,,,,,,,,,,,,,,,32.8,88,
2008-2012,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,36.43,96017,52683,43334,320.1,2604,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,,,,,,,,,,,88.7,93.4,
