Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
1968-1972,Lebanon,Asia | Middle East | Near East,1045,32.06,2417,905,1512,231.3,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,,,,,
1968-1972,Occupied Palestinian Territory,Asia | Middle East | Near East,602,34.39,1180,514.1,665.9,196,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Syrian Arab Republic,Asia | Middle East | Near East,18518,32.41,6829,3819,3010,36.88,448,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,0.3444,,,,,,,,,,,,,,,,,,,
1968-1972,Turkey,Asia | Middle East | Near East,78535,35.94,36475,22031,14444,46.44,560.1,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,14.57,8500,,,,,,,,,,,,,,,,,,
1968-1972,Afghanistan,Asia | Central Asia,65286,12.32,11717,10283,1434,17.95,136.2,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,,,,,,,,,,,,,,,,,,
1968-1972,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,63.26,67578,61927,5651,455.2,93.05,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,,,,,,,,,,,,,,,,,,
1968-1972,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,2.681,312.7,291.6,21.13,6.653,,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,India,Asia | Southern and Eastern Asia | South Asia,328726,50.19,579801,461778,118023,176.4,125.4,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,105,139500,33443,31550,20.27,23.97,,,100,57.41,35.58,38190,121,,,,,,,
1968-1972,Maldives,Asia | Southern and Eastern Asia | South Asia,30,16.67,123.4,106.6,16.85,411.3,,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,14.15,12488,11982,506.3,84.85,82.01,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,,2178,,,,,,,,,,,,,,,,,,
1968-1972,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,38.32,61341,45487,15854,77.05,151.8,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,13.52,21300,,,,,,,,,,,,,,,,,,
1968-1972,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,29.05,13003,10414,2589,198.2,196.4,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,,,,,,,,,,,,,,,,,,
1968-1972,China,Asia | Southern and Eastern Asia | East Asia,960000,10.6,869313,712679,156634,90.55,128.8,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,,,,,,,,,,,,,,,,,,
1968-1972,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,19.33,15215,6816,8399,126.2,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,9.876,,,,,,,,,,,,,,,,,,,
1968-1972,Japan,Asia | Southern and Eastern Asia | East Asia,37780,15.04,106617,28306,78311,282.2,2936,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.4961,1357,726.3,630.7,0.8676,,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1968-1972,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,22.59,32759,18446,14313,330,347,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2242,,,,,,,,,,,,,,,,,,
1968-1972,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,10.33,7331,5731,1600,40.49,68.96,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1968-1972,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.007,2838,2546,292.1,11.98,,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,,600,,,,,,,,,,,,,,,,,,
1968-1972,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,15.43,28517,21785,6732,42.15,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,890,,8.525,8.476,,,100,,,,,,,,,,,
1968-1972,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,28.75,39062,30467,8595,76.13,209.4,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,27.2,12245,,,,,,,,,,1965,,,,,,,,
1968-1972,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33169,18.62,45549,37052,8497,137.3,,604,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1968-1972,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,2.08,141.8,52.12,89.68,24.58,1910,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1968-1972,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,13.61,121060,99730,21330,63.35,95.86,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,5.652,10886,,,,,,,,,,,,,,,,,,
1968-1972,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,11.76,11460,7437,4023,34.64,440.1,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,1.271,413.7,,,,,,,,,,,,,,,,,,
1968-1972,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.251,2576,2285,291.1,5.566,333.4,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,,36,,,,,,,,,,,,,,,,,,
1968-1972,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,25.33,37925,25026,12899,126.4,211.4,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,,,,,,,,,,,,,
1968-1972,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,16.18,2153,0,2153,3166,1263,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0276,,,,,,,,,,,,,,,,,,,
1968-1972,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,6.389,636.1,549.7,86.38,42.78,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Bahrain,Asia | Middle East | Arabian Peninsula,69,8.696,303.2,44.1,259.1,439.4,,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1973-1977,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.0561,1181,101,1080,66.27,11971,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1973-1977,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1583,977.8,568.2,409.6,3.159,2803,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.1723,182.4,20,162.4,15.71,19833,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,1.974,,,,,,,,
1973-1977,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.8392,8295,3236,5059,3.859,8944,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.27,,,,,,,,,,,557.7,,,,,,,,
1973-1977,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.2033,722.8,143.1,579.7,8.646,34410,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.765,7227,6128,1099,13.69,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1973-1977,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,8.992,34814,18203,16611,19.95,2315,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,12.83,15000,,,,,,,,,,,,,,,,,,
1973-1977,Iraq,Asia | Middle East | Near East,43832,12.06,12461,4560,7901,28.43,1592,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,127.1,5554,,,,,,,,,,,,,,,,,,
1973-1977,Israel,Asia | Middle East | Near East,2207,18.71,3514,441,3073,159.2,3920,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Jordan,Asia | Middle East | Near East,8878,3.695,2092,872,1220,23.56,1002,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.0066,85,,,,,,,,,,,,,,,,,,
1973-1977,Lebanon,Asia | Middle East | Near East,1045,31.1,2606,788,1818,249.4,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,,,,,
1973-1977,Occupied Palestinian Territory,Asia | Middle East | Near East,602,35.55,1398,548.9,849.1,232.2,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Syrian Arab Republic,Asia | Middle East | Near East,18518,29.75,8088,4390,3698,43.68,951.5,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,12.4,,,,,,,,,,,,,,,,,,,
1973-1977,Turkey,Asia | Middle East | Near East,78535,35.56,41020,23583,17437,52.23,1430,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,46.41,8500,,,,,,,,,,,,,,,,,,
1973-1977,Afghanistan,Asia | Central Asia,65286,12.33,13056,11168,1888,20,226.2,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,,,,,,,,,,,,,,,,,,
1973-1977,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,63.26,74848,66023,8825,504.2,128.9,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,,,,,,,,,,,,,,,,,,
1973-1977,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,2.915,374.8,342.1,32.69,7.974,,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,India,Asia | Southern and Eastern Asia | South Asia,328726,50.82,650908,507314,143594,198,190.5,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,130,139500,37772,35150,22.61,27.08,,,100,,,43180,122.8,,,,,,,
1973-1977,Maldives,Asia | Southern and Eastern Asia | South Asia,30,20,144.6,116.3,28.29,482,,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,15.31,13914,13201,713.1,94.54,99.35,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,,2178,,,,,,,,,,,,,,,,,,
1973-1977,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,38.83,70954,51361,19593,89.13,213.2,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,14.39,21300,,,,,,,,,,,,,,,,,,
1973-1977,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,30.39,14274,11534,2740,217.6,287.6,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,429.9,,21.56,75.42,,,100,,,,,,,,,,,
1973-1977,China,Asia | Southern and Eastern Asia | East Asia,960000,10.47,958194,781063,177131,99.81,179.5,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,47240,40316,46.99,67.49,,,100,,,,,,,,,,,
1973-1977,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,19.74,16759,7243,9516,139,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,10.49,,900,,37.82,,,,100,,,,,,,,,,,
1973-1977,Japan,Asia | Southern and Eastern Asia | East Asia,37780,14.6,113068,27135,85933,299.3,6271,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.7033,1562,779.3,782.7,0.9986,,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1973-1977,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,22.48,35832,17387,18445,361,1123,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2231,,,,,,,,,,,,,,,,,,
1973-1977,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,10.88,7222,6848,374.1,39.89,81.48,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1973-1977,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.336,3131,2768,362.6,13.22,,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.03,600,,,,,,,,,,,,,,,,,,
1973-1977,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,14.77,32131,24438,7693,47.49,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,,,,,,,,,,,,,,,,,,
1973-1977,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,33.88,44416,33323,11093,86.56,445.3,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,39.61,12245,,,,,,,,,,2442,,,,,,,,
1973-1977,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,32957,19.84,50900,41150,9750,154.4,,600.1,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1973-1977,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.56,173.8,67.5,106.3,30.12,9970,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1973-1977,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,13.61,137322,109662,27660,71.86,352.4,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,7.645,10886,,,,,,,,,,,,,,,,,,
1973-1977,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,13.13,12892,7814,5078,38.97,1019,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,7.321,413.7,,,,,,,,,,,,,,,,,,
1973-1977,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.359,2968,2601,367,6.413,552.8,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.333,36,,,,,,,,,,,,,,,,,,
1973-1977,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,30.33,43650,27815,15835,145.5,450.1,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,,,,,,,,,,,,,,,,,,
1973-1977,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,11.76,2318,0,2318,3409,2855,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0581,,,,,,,,,,,,,,,,,,,
1973-1977,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,7.532,630.2,533.3,96.89,42.38,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Bahrain,Asia | Middle East | Arabian Peninsula,69,5.797,386,52,334,559.4,9445,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1978-1982,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.1122,1519,66,1453,85.24,14205,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1978-1982,Oman,Asia | Middle East | Arabian Peninsula,30950,0.1648,1290,627.2,662.8,4.168,5856,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,,,41.02,,80.43,,,,100,,,,,,,,,,,
1978-1982,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.6029,277.2,28.6,248.6,23.88,27405,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,0.962,11247,3574,7673,5.232,13604,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.3763,,,,,,,,,,,555.9,,,,15,,,,
1978-1982,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.323,1158,228,930,13.85,40261,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.775,8698,7222,1476,16.47,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0052,,,,,,,,,,,,,,,,,,,
1978-1982,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,8.519,41862,20317,21545,23.99,3010,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,15.97,15000,,,,,,,,,,,,,,,,,,
1978-1982,Iraq,Asia | Middle East | Near East,43832,12.43,14438,4789,9649,32.94,2950,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,131.1,5554,,,,,,,,,,,,,,,,,,
1978-1982,Israel,Asia | Middle East | Near East,2207,19.03,3884,416,3468,176,6327,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Jordan,Asia | Middle East | Near East,8878,3.763,2463,914,1549,27.74,1900,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.0066,85,,,,,,,,,,,,,,,,,,
1978-1982,Lebanon,Asia | Middle East | Near East,1045,28.52,2632,629,2003,251.9,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,,,,,
1978-1982,Occupied Palestinian Territory,Asia | Middle East | Near East,602,37.04,1600,583,1017,265.8,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Syrian Arab Republic,Asia | Middle East | Near East,18518,31.33,9614,5070,4544,51.92,1695,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,12.67,,,,,,,,,,,,,,,,,,,
1978-1982,Turkey,Asia | Middle East | Near East,78535,34.5,45998,24380,21618,58.57,1403,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,48.02,8500,,,,,,,,,,,,,,,,,,
1978-1982,Afghanistan,Asia | Central Asia,65286,12.34,12667,10622,2045,19.4,274.6,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,,,,,,,,,,,,,,,,,,
1978-1982,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,63.17,85868,71754,14114,578.4,215.7,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,1520,,16.21,21.92,,,100,,,1726,,,,,,,,
1978-1982,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,3.255,434.4,385.8,48.6,9.243,342.9,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,India,Asia | Southern and Eastern Asia | South Asia,328726,51.33,730303,557337,172966,222.2,279.3,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,,139500,42371,40500,25.11,30.37,,,100,49.8,41.77,49876,123.2,,,,,,,
1978-1982,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23.33,169.9,131,38.91,566.3,282.1,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
